Timestamp,HR,BR,Temp,Posture,Activity,Acceleration,Battery,BRAmplitude,ECGAmplitude,ECGNoise,XMin,XPeak,YMin,YPeak,ZMin,ZPeak
25/06/2018 12:58:24.443,60,8.1,-3276.8,-50,0.52,1.31,3.865,5817.000,0.026140,0.002760,-1.32,-0.13,0.02,1.86,-0.20,0.24
25/06/2018 12:58:25.443,76,8.1,-3276.8,-40,0.30,0.46,3.838,5210.000,0.026140,0.004120,-1.10,-0.65,0.20,1.01,-0.31,0.32
25/06/2018 12:58:26.443,87,7.3,-3276.8,55,0.53,0.73,3.818,4602.000,0.006444,0.002300,-0.77,0.03,0.27,1.19,-0.42,0.00
25/06/2018 12:58:27.443,92,7.3,-3276.8,68,0.32,0.44,3.806,4015.000,0.006444,0.001540,-0.26,-0.02,0.86,1.12,-0.19,-0.06
25/06/2018 12:58:28.443,95,6.6,-3276.8,76,0.34,0.78,3.795,3500.000,0.006384,0.001080,-0.37,0.14,0.25,1.63,-0.27,0.13
25/06/2018 12:58:29.443,96,6.6,-3276.8,79,0.15,0.36,3.785,3010.000,0.006384,0.002260,-0.39,0.20,0.83,1.13,-0.46,0.13
25/06/2018 12:58:30.443,96,5.9,-3276.8,82,0.25,1.22,3.782,2634.000,0.006384,0.010240,-0.55,1.09,0.40,1.32,-0.37,0.49
25/06/2018 12:58:31.443,96,5.9,-3276.8,75,0.33,0.72,3.781,2298.000,0.006384,0.011160,-0.60,-0.22,0.61,1.15,-0.92,0.55
25/06/2018 12:58:32.443,97,6.3,-3276.8,-76,0.42,0.74,3.780,2017.000,0.006184,0.011340,-0.90,0.14,0.42,1.04,0.07,0.83
25/06/2018 12:58:33.443,97,6.3,-3276.8,-69,0.58,1.26,3.779,1743.000,0.006184,0.010620,-1.26,0.39,0.14,1.30,0.19,1.22
25/06/2018 12:58:34.443,98,6.7,-3276.8,-67,0.18,0.24,3.773,1576.000,0.006184,0.008980,-0.54,-0.33,0.59,0.75,0.53,0.75
25/06/2018 12:58:35.443,98,6.7,-3276.8,-63,0.12,0.20,3.763,1386.000,0.006184,0.022480,-0.65,-0.34,0.59,0.81,0.48,0.65
25/06/2018 12:58:36.443,98,7.1,-3276.8,-63,0.38,0.75,3.761,1234.000,0.006184,0.031220,-0.93,-0.03,0.34,1.19,-0.31,1.03
25/06/2018 12:58:37.443,98,7.1,-3276.8,-55,0.49,0.66,3.760,1120.000,0.006184,0.026980,-0.97,-0.55,0.22,1.18,-0.37,0.12
25/06/2018 12:58:38.443,98,7.5,-3276.8,-32,0.62,0.81,3.760,988.000,0.006184,0.015880,-1.13,-0.96,-0.16,0.83,0.00,0.19
25/06/2018 12:58:39.443,99,7.5,-3276.8,-14,0.44,0.55,3.760,878.000,0.006184,0.010300,-1.12,-0.91,-0.27,0.14,0.07,0.24
25/06/2018 12:58:40.443,99,8.0,-3276.8,-16,0.20,0.33,3.760,778.000,0.005524,0.011520,-1.12,-0.84,0.02,0.26,0.20,0.53
25/06/2018 12:58:41.443,99,8.0,-3276.8,-19,0.14,0.18,3.760,688.000,0.005524,0.009120,-0.98,-0.92,0.14,0.25,0.38,0.43
25/06/2018 12:58:42.443,99,8.5,-3276.8,-21,0.07,0.09,3.760,608.000,0.027160,0.006360,-0.97,-0.90,0.19,0.22,0.38,0.43
25/06/2018 12:58:43.443,99,8.5,-3276.8,-23,0.05,0.08,3.760,526.000,0.027160,0.004720,-0.97,-0.89,0.19,0.22,0.39,0.46
25/06/2018 12:58:44.443,99,9.0,-3276.8,-24,0.03,0.10,3.760,459.000,0.006900,0.004480,-0.97,-0.87,0.19,0.25,0.38,0.53
25/06/2018 12:58:45.443,98,9.0,-3276.8,-27,0.10,0.63,3.760,394.000,0.006900,0.005600,-0.97,-0.53,0.19,0.83,0.03,0.57
25/06/2018 12:58:46.443,98,9.4,-3276.8,-37,0.47,0.62,3.760,343.000,0.006900,0.022100,-0.73,-0.33,0.67,1.03,0.10,0.37
25/06/2018 12:58:47.443,98,9.4,-3276.8,-49,0.43,0.59,3.758,298.000,0.006900,0.016240,-0.60,-0.32,0.60,1.01,-0.01,0.39
25/06/2018 12:58:48.443,98,9.8,-3276.8,-51,0.16,0.26,3.758,264.000,0.006900,0.018380,-0.86,-0.44,0.45,0.93,0.18,0.53
25/06/2018 12:58:49.443,99,9.8,-3276.8,-48,0.14,0.28,3.757,229.000,0.006900,0.015140,-0.96,-0.46,0.55,0.92,0.20,0.40
25/06/2018 12:58:50.443,99,10.1,-3276.8,-54,0.19,0.33,3.757,201.000,0.006900,0.009520,-0.55,-0.34,0.72,0.95,0.13,0.34
25/06/2018 12:58:51.443,99,10.1,-3276.8,-61,0.23,0.32,3.757,174.000,0.006900,0.007100,-0.59,-0.24,0.84,1.00,0.04,0.28
25/06/2018 12:58:52.443,99,10.3,-3276.8,-59,0.11,0.20,3.757,151.000,0.006900,0.003260,-0.68,-0.49,0.68,0.91,0.20,0.38
25/06/2018 12:58:53.443,99,10.3,-3276.8,-57,0.08,0.25,3.757,131.000,0.006900,0.010380,-0.61,-0.43,0.57,0.91,0.25,0.38
25/06/2018 12:58:54.443,99,10.4,-3276.8,-55,0.10,0.25,3.757,114.000,0.006900,0.005100,-0.71,-0.42,0.57,1.01,0.04,0.38
25/06/2018 12:58:55.443,99,10.4,-3276.8,-54,0.06,0.25,3.757,100.000,0.006900,0.002500,-0.71,-0.42,0.57,1.01,0.04,0.38
25/06/2018 12:58:56.443,99,9.7,-3276.8,-54,0.06,0.08,3.757,89.000,0.006900,0.005120,-0.63,-0.56,0.73,0.87,0.16,0.22
25/06/2018 12:58:57.443,99,9.7,-3276.8,-71,0.52,0.54,3.757,104.000,0.006900,0.002200,-0.72,-0.12,0.55,1.26,0.19,0.63
25/06/2018 12:58:58.443,99,9.0,-3276.8,-83,0.41,0.97,3.757,124.000,0.006900,0.001320,-0.34,0.61,0.59,1.30,0.19,0.89
25/06/2018 12:58:59.443,98,9.0,-3276.8,76,0.99,1.04,3.757,111.000,0.006900,0.000780,-0.37,0.32,0.38,1.39,-0.78,0.61
25/06/2018 12:59:00.443,98,8.5,-3276.8,-40,0.88,1.86,3.756,108.000,0.006900,0.000500,-1.24,0.09,-0.37,1.22,-1.78,0.65
25/06/2018 12:59:01.443,98,8.5,-3276.8,-65,0.74,1.14,3.756,120.000,0.006900,0.000280,-1.22,0.06,-0.33,0.40,0.36,1.15
25/06/2018 12:59:02.443,97,8.1,-3276.8,-81,0.44,0.84,3.756,120.000,0.006900,0.000120,-0.03,0.16,-0.10,0.21,0.78,1.18
25/06/2018 12:59:03.443,97,8.1,-3276.8,-82,0.27,0.59,3.756,110.000,0.006900,0.004640,-0.20,0.18,-0.13,0.07,0.92,1.21
25/06/2018 12:59:04.443,97,7.8,-3276.8,-80,0.16,0.43,3.756,101.000,0.006900,0.005860,-0.39,0.03,-0.16,0.02,0.87,1.21
25/06/2018 12:59:05.443,97,7.8,-3276.8,-84,0.20,0.27,3.756,90.000,0.006900,0.013460,-0.30,-0.01,-0.25,0.00,0.84,1.18
25/06/2018 12:59:06.443,97,7.5,-3276.8,-90,0.21,0.34,3.756,79.000,0.006900,0.023000,-0.07,0.25,-0.31,-0.07,0.69,1.22
25/06/2018 12:59:07.443,97,7.5,-3276.8,-90,0.12,0.55,3.756,68.000,0.006900,0.023760,-0.18,0.56,-0.34,-0.02,0.72,1.14
25/06/2018 12:59:08.443,97,7.3,-3276.8,-89,0.17,0.39,3.756,60.000,0.006900,0.013580,-0.15,0.21,-0.49,0.13,0.75,1.34
25/06/2018 12:59:09.443,97,7.3,-3276.8,-86,0.12,0.25,3.756,54.000,0.006900,0.008220,-0.26,0.16,-0.36,-0.01,0.84,1.20
25/06/2018 12:59:10.443,97,7.1,-3276.8,-84,0.05,0.18,3.756,48.000,0.006900,0.007300,-0.22,0.00,-0.36,-0.02,0.91,1.07
25/06/2018 12:59:11.443,97,7.1,-3276.8,-88,0.37,1.43,3.756,45.000,0.006900,0.013700,-0.45,0.49,-1.26,1.33,-0.49,2.24
25/06/2018 12:59:12.443,97,6.9,-3276.8,-83,0.51,1.44,3.755,72.000,0.006900,0.008180,-0.83,0.61,-0.80,1.25,0.31,1.36
25/06/2018 12:59:13.443,97,6.9,-3276.8,-59,0.92,1.42,3.755,81.000,0.006900,0.006740,-1.44,0.22,-1.03,0.86,0.04,1.69
25/06/2018 12:59:14.443,98,6.9,-3276.8,-38,0.64,1.26,3.755,78.000,0.006900,0.007220,-1.06,-0.59,0.27,1.28,-0.22,0.68
25/06/2018 12:59:15.443,99,6.9,-3276.8,-26,0.44,0.91,3.755,85.000,0.006900,0.005240,-1.44,-0.42,-0.46,0.95,-0.74,1.15
25/06/2018 12:59:16.443,100,6.9,-3276.8,39,0.86,2.18,3.755,87.000,0.006900,0.004600,-1.19,-0.08,-1.19,1.07,-2.53,0.74
25/06/2018 12:59:17.443,101,6.9,-3276.8,67,0.73,1.07,3.755,90.000,0.006900,0.003620,-0.37,0.33,0.40,0.87,-0.91,-0.44
25/06/2018 12:59:18.443,101,7.3,-3276.8,86,0.54,1.07,3.755,87.000,0.006900,0.003560,-0.07,0.66,0.36,1.31,-1.14,0.30
25/06/2018 12:59:19.443,102,7.3,-3276.8,-93,0.29,0.51,3.755,81.000,0.006900,0.003500,0.00,0.21,0.89,1.08,0.12,0.19
25/06/2018 12:59:20.443,102,7.6,-3276.8,-97,0.20,0.31,3.755,72.000,0.006900,0.001620,0.14,0.37,0.84,1.06,0.16,0.31
25/06/2018 12:59:21.443,102,7.6,-3276.8,-100,0.33,0.61,3.755,63.000,0.006900,0.013520,-0.24,0.21,0.26,1.30,0.21,0.57
25/06/2018 12:59:22.443,101,8.0,-3276.8,-106,0.33,0.51,3.755,56.000,0.006900,0.009800,0.16,0.51,0.39,1.25,0.02,0.42
25/06/2018 12:59:23.443,102,8.0,-3276.8,-102,0.47,0.90,3.755,49.000,0.006900,0.008600,0.01,0.40,0.09,0.86,0.42,1.09
25/06/2018 12:59:24.443,103,8.3,-3276.8,-105,0.42,0.53,3.755,43.000,0.006900,0.005840,0.06,0.34,0.56,1.14,-0.02,0.75
25/06/2018 12:59:25.443,104,8.3,-3276.8,-101,0.39,0.43,3.754,38.000,0.006900,0.003960,0.33,0.55,0.71,1.01,-0.08,0.14
25/06/2018 12:59:26.443,105,8.7,-3276.8,-78,0.61,1.37,3.754,34.000,0.006900,0.003960,-0.85,0.34,0.54,1.97,-0.03,0.26
25/06/2018 12:59:27.443,106,8.7,-3276.8,-29,1.26,2.33,3.754,31.000,0.006900,0.003960,-1.16,-0.16,-1.75,0.95,0.04,0.50
25/06/2018 12:59:28.443,108,9.0,-3276.8,-43,0.70,1.31,3.754,28.000,0.006900,0.005340,-0.66,-0.21,-1.09,-0.67,0.12,0.37
25/06/2018 12:59:29.443,110,9.0,-3276.8,-24,0.55,0.73,3.754,25.000,0.006900,0.004400,-1.14,-0.57,-0.86,0.21,-0.02,0.36
25/06/2018 12:59:30.443,111,9.4,-3276.8,-42,0.95,1.54,3.754,23.000,0.006900,0.003380,-1.01,0.02,0.07,1.37,0.06,0.39
25/06/2018 12:59:31.443,112,9.4,-3276.8,-23,1.06,3.15,3.754,20.000,0.006900,0.002620,-3.01,0.01,-2.28,1.30,-0.53,0.40
25/06/2018 12:59:32.443,113,9.8,-3276.8,-42,0.70,2.57,3.754,18.000,0.006900,0.002460,-2.44,0.30,-2.87,0.59,-0.44,0.91
25/06/2018 12:59:33.443,115,9.8,-3276.8,50,1.24,3.01,3.754,21.000,0.006900,0.002460,-3.02,0.32,-3.60,0.67,-3.03,0.83
25/06/2018 12:59:34.443,118,10.2,-3276.8,35,0.83,6.04,3.754,29.000,0.006900,0.001360,-2.65,0.04,-5.43,0.65,-5.78,2.93
25/06/2018 12:59:35.443,119,10.2,-3276.8,11,0.52,0.77,3.754,51.000,0.006900,0.000580,-1.07,-0.97,0.02,0.21,-0.12,0.18
25/06/2018 12:59:36.443,119,10.5,-3276.8,-1,0.33,0.54,3.754,47.000,0.006900,0.000420,-1.43,-0.51,-0.15,0.36,-0.16,0.20
25/06/2018 12:59:37.443,120,10.5,-3276.8,10,0.34,0.77,3.754,55.000,0.006900,0.000420,-1.66,-0.65,-0.25,0.37,-0.25,0.12
25/06/2018 12:59:38.443,121,10.9,-3276.8,35,0.73,1.87,3.753,56.000,0.006900,0.000200,-2.20,0.07,-0.14,2.66,-1.14,-0.19
25/06/2018 12:59:39.443,121,10.9,-3276.8,51,0.45,0.81,3.753,53.000,0.006900,0.000140,-0.69,0.20,0.08,0.65,-1.45,-0.57
25/06/2018 12:59:40.443,121,11.2,-3276.8,33,0.66,1.20,3.753,66.000,0.006900,0.000100,-1.59,-0.01,-0.18,0.98,-1.09,0.53
25/06/2018 12:59:41.443,121,11.2,-3276.8,18,0.39,1.16,3.753,67.000,0.006900,0.000060,-1.32,-0.55,-0.34,0.20,-0.26,0.67
25/06/2018 12:59:42.443,121,11.5,-3276.8,12,0.22,0.65,3.753,68.000,0.006900,0.002640,-1.28,-0.87,-0.12,0.26,-0.36,0.33
25/06/2018 12:59:43.443,122,11.5,-3276.8,-10,0.25,0.68,3.753,112.000,0.006900,0.003120,-1.27,-0.72,-0.10,0.25,-0.36,0.61
25/06/2018 12:59:44.443,122,11.8,-3276.8,-10,0.19,0.30,3.753,137.000,0.006900,0.002780,-1.02,-0.91,0.01,0.22,0.20,0.39
25/06/2018 12:59:45.443,122,11.8,-3276.8,-13,0.15,0.27,3.753,152.000,0.006900,0.002520,-1.00,-0.96,-0.01,0.09,0.20,0.39
25/06/2018 12:59:46.443,122,12.0,-3276.8,-14,0.08,0.16,3.753,144.000,0.006900,0.002680,-1.03,-0.96,0.02,0.20,0.14,0.39
25/06/2018 12:59:47.443,122,12.0,-3276.8,-15,0.07,0.15,3.753,138.000,0.006900,0.003120,-1.02,-0.95,0.13,0.21,0.15,0.39
25/06/2018 12:59:48.443,122,12.2,-3276.8,-17,0.03,0.07,3.753,136.000,0.006900,0.003460,-1.00,-0.96,0.14,0.21,0.20,0.32
25/06/2018 12:59:49.443,122,12.2,-3276.8,-15,0.02,0.04,3.753,127.000,0.006900,0.002280,-1.02,-0.91,0.13,0.20,0.20,0.28
25/06/2018 12:59:50.443,122,12.4,-3276.8,-15,0.03,0.10,3.753,119.000,0.006900,0.002360,-1.04,-0.95,0.08,0.19,0.19,0.33
25/06/2018 12:59:51.443,122,12.4,-3276.8,-15,0.03,0.10,3.752,125.000,0.006900,0.002340,-1.01,-0.97,0.09,0.19,0.18,0.36
25/06/2018 12:59:52.443,122,12.6,-3276.8,-14,0.09,0.25,3.752,155.000,0.006900,0.006880,-1.28,-0.93,0.00,0.22,0.04,0.38
25/06/2018 12:59:53.443,122,12.6,-3276.8,-15,0.27,0.55,3.752,212.000,0.006900,0.012060,-1.26,-0.68,-0.18,0.63,-0.31,0.62
25/06/2018 12:59:54.443,122,12.8,-3276.8,-17,0.32,0.78,3.752,209.000,0.006900,0.012240,-1.25,-0.68,-0.15,0.55,-0.78,0.73
25/06/2018 12:59:55.443,122,12.8,-3276.8,-12,0.22,0.80,3.752,246.000,0.006900,0.009060,-1.67,-0.68,-0.66,0.69,0.07,0.61
25/06/2018 12:59:56.443,122,11.8,-3276.8,-10,0.11,0.20,3.752,327.000,0.006900,0.006020,-1.02,-0.97,-0.06,0.02,0.12,0.19
25/06/2018 12:59:57.443,122,11.8,-3276.8,-10,0.05,0.08,3.752,305.000,0.006900,0.005160,-1.03,-0.98,-0.02,0.03,0.14,0.20
25/06/2018 12:59:58.443,122,11.1,-3276.8,-10,0.03,0.10,3.752,269.000,0.006900,0.003520,-1.07,-0.98,-0.03,0.07,0.00,0.22
25/06/2018 12:59:59.443,121,11.1,-3276.8,-10,0.01,0.03,3.752,239.000,0.006900,0.003240,-1.02,-0.98,-0.01,0.03,0.16,0.21
25/06/2018 13:00:00.443,121,10.5,-3276.8,-10,0.01,0.03,3.752,210.000,0.006900,0.002220,-1.01,-0.97,-0.02,0.02,0.15,0.20
25/06/2018 13:00:01.443,121,10.5,-3276.8,-10,0.01,0.07,3.752,183.000,0.006900,0.002920,-1.02,-0.98,-0.01,0.03,0.10,0.19
25/06/2018 13:00:02.443,120,10.0,-3276.8,-10,0.01,0.02,3.752,161.000,0.006900,0.002840,-1.02,-0.97,-0.02,0.03,0.16,0.21
25/06/2018 13:00:03.443,120,10.0,-3276.8,-11,0.04,0.32,3.752,141.000,0.006900,0.002780,-1.10,-0.95,-0.10,0.04,0.00,0.55
25/06/2018 13:00:04.443,120,9.5,-3276.8,-8,0.12,0.51,3.751,153.000,0.006900,0.010480,-1.08,-0.90,-0.36,0.04,-0.39,0.39
25/06/2018 13:00:05.443,119,9.5,-3276.8,-9,0.06,0.38,3.751,173.000,0.006900,0.004580,-1.09,-0.98,-0.12,0.00,0.06,0.60
25/06/2018 13:00:06.443,119,9.2,-3276.8,-8,0.03,0.06,3.751,161.000,0.006900,0.003080,-1.02,-0.98,-0.10,0.01,0.10,0.19
25/06/2018 13:00:07.443,119,9.2,-3276.8,-8,0.03,0.07,3.751,144.000,0.006900,0.002700,-1.02,-0.97,-0.18,0.01,0.10,0.19
25/06/2018 13:00:08.443,119,8.6,-3276.8,-8,0.02,0.08,3.751,132.000,0.006900,0.002000,-1.02,-0.98,-0.04,0.02,0.07,0.19
25/06/2018 13:00:09.443,119,8.6,-3276.8,-7,0.07,0.40,3.751,124.000,0.006900,0.002500,-1.07,-0.92,-0.20,0.03,-0.38,0.60
25/06/2018 13:00:10.443,119,8.4,-3276.8,-8,0.11,0.45,3.751,126.000,0.006900,0.001400,-1.02,-0.97,-0.20,-0.10,0.01,0.71
25/06/2018 13:00:11.443,119,8.4,-3276.8,-10,0.06,0.09,3.751,121.000,0.006900,0.001700,-1.02,-0.98,-0.19,-0.14,0.09,0.18
25/06/2018 13:00:12.443,119,8.1,-3276.8,-11,0.03,0.07,3.751,110.000,0.006240,0.001020,-1.02,-0.97,-0.20,-0.14,0.04,0.19
25/06/2018 13:00:13.443,119,8.1,-3276.8,-11,0.03,0.36,3.751,113.000,0.006240,0.004000,-1.03,-0.96,-0.21,-0.12,0.03,0.53
25/06/2018 13:00:14.443,118,8.2,-3276.8,-11,0.13,0.44,3.751,315.000,0.006240,0.005240,-1.10,-0.92,-0.24,0.04,-0.31,0.45
25/06/2018 13:00:15.443,118,8.2,-3276.8,-11,0.15,0.81,3.751,332.000,0.006240,0.005440,-1.48,-0.78,-0.40,0.79,-0.18,0.71
25/06/2018 13:00:16.443,118,8.3,-3276.8,-11,0.08,0.18,3.750,304.000,0.006240,0.003200,-1.09,-0.86,-0.16,0.01,0.07,0.34
25/06/2018 13:00:17.443,118,8.3,-3276.8,-13,0.05,0.12,3.750,279.000,0.006240,0.002000,-1.02,-0.95,-0.18,-0.07,0.18,0.32
25/06/2018 13:00:18.443,118,8.4,-3276.8,-14,0.04,0.08,3.750,254.000,0.003540,0.001320,-1.03,-0.96,-0.19,-0.09,0.19,0.31
25/06/2018 13:00:19.443,118,8.4,-3276.8,-15,0.06,0.15,3.750,263.000,0.003540,0.002180,-1.01,-0.96,-0.20,-0.13,0.19,0.38
25/06/2018 13:00:20.443,117,8.4,-3276.8,-17,0.07,0.36,3.750,312.000,0.003540,0.004060,-1.02,-0.90,-0.22,0.00,0.06,0.63
25/06/2018 13:00:21.443,117,8.4,-3276.8,-15,0.13,0.18,3.750,521.000,0.003540,0.007220,-1.03,-0.97,-0.09,0.08,0.14,0.38
25/06/2018 13:00:22.443,117,8.8,-3276.8,-17,0.16,0.39,3.750,585.000,0.003540,0.006160,-1.13,-0.71,-0.30,0.10,0.04,0.69
25/06/2018 13:00:23.443,116,8.8,-3276.8,-15,0.28,0.65,3.750,820.000,0.003540,0.004700,-1.22,-0.75,-0.03,0.42,-0.42,0.60
25/06/2018 13:00:24.443,116,9.4,-3276.8,-10,0.26,0.44,3.750,1094.000,0.003540,0.004700,-1.26,-0.71,-0.06,0.30,-0.15,0.18
25/06/2018 13:00:25.443,116,9.4,-3276.8,-8,0.07,0.77,3.750,1054.000,0.003540,0.004260,-1.27,-0.49,-0.73,0.71,-0.45,0.36
25/06/2018 13:00:26.443,117,10.2,-3276.8,-7,0.18,0.59,3.750,997.000,0.003540,0.005400,-1.21,-0.40,-0.16,0.86,-0.21,0.50
25/06/2018 13:00:27.443,117,10.2,-3276.8,-7,0.06,0.12,3.750,894.000,0.003540,0.003800,-1.06,-0.96,0.00,0.15,0.00,0.22
25/06/2018 13:00:28.443,117,11.0,-3276.8,-6,0.06,0.16,3.750,824.000,0.003540,0.005760,-1.19,-0.87,-0.04,0.12,-0.03,0.25
25/06/2018 13:00:29.443,117,11.0,-3276.8,-7,0.12,0.39,3.749,776.000,0.003540,0.006220,-1.14,-0.93,-0.10,0.08,-0.10,0.54
25/06/2018 13:00:30.443,116,11.4,-3276.8,-7,0.10,0.39,3.749,725.000,0.003540,0.004920,-1.14,-0.87,-0.43,0.30,-0.27,0.31
25/06/2018 13:00:31.443,116,11.4,-3276.8,-8,0.13,0.25,3.749,770.000,0.003540,0.003300,-1.31,-0.78,0.07,0.34,-0.10,0.22
25/06/2018 13:00:32.443,116,12.1,-3276.8,-8,0.10,0.30,3.749,691.000,0.003540,0.002420,-1.28,-0.71,0.12,0.44,-0.07,0.18
25/06/2018 13:00:33.443,115,12.1,-3276.8,-11,0.10,0.26,3.749,650.000,0.003540,0.003680,-1.08,-0.80,0.21,0.37,-0.04,0.37
25/06/2018 13:00:34.443,115,12.4,-3276.8,-14,0.14,1.08,3.749,620.000,0.003540,0.003580,-2.02,-0.62,-0.32,1.18,-0.03,0.89
25/06/2018 13:00:35.443,116,12.4,-3276.8,-14,0.06,0.16,3.749,574.000,0.003540,0.002540,-1.07,-0.85,0.19,0.32,-0.02,0.19
25/06/2018 13:00:36.443,117,12.6,-3276.8,-14,0.05,0.16,3.749,528.000,0.003540,0.001900,-1.07,-0.85,0.19,0.32,-0.02,0.19
25/06/2018 13:00:37.443,117,12.6,-3276.8,-15,0.07,0.12,3.749,503.000,0.003540,0.002400,-1.10,-0.85,0.21,0.33,0.01,0.18
25/06/2018 13:00:38.443,117,12.8,-3276.8,-15,0.04,0.16,3.749,481.000,0.003540,0.002080,-1.09,-0.86,0.12,0.36,-0.01,0.22
25/06/2018 13:00:39.443,118,12.8,-3276.8,-15,0.11,0.24,3.749,510.000,0.003540,0.001980,-1.08,-0.71,0.20,0.39,0.00,0.21
25/06/2018 13:00:40.443,117,13.4,-3276.8,-15,0.06,0.32,3.749,466.000,0.003540,0.001360,-1.20,-0.80,-0.12,0.34,-0.08,0.20
25/06/2018 13:00:41.443,116,13.4,-3276.8,-14,0.07,0.12,3.749,403.000,0.003540,0.001200,-1.07,-0.95,0.21,0.31,0.01,0.19
25/06/2018 13:00:42.443,116,14.1,-3276.8,-15,0.11,0.16,3.748,357.000,0.003180,0.001100,-1.14,-0.89,0.01,0.37,0.01,0.22
25/06/2018 13:00:43.443,115,14.1,-3276.8,-14,0.09,0.18,3.748,314.000,0.003180,0.000880,-1.09,-0.90,0.09,0.42,0.01,0.19
25/06/2018 13:00:44.443,114,14.8,-3276.8,-15,0.16,0.27,3.748,288.000,0.002620,0.000700,-1.10,-0.91,0.01,0.38,-0.16,0.19
25/06/2018 13:00:45.443,113,14.8,-3276.8,-15,0.16,0.32,3.748,269.000,0.002620,0.000680,-1.31,-0.80,0.04,0.44,-0.16,0.19
25/06/2018 13:00:46.443,113,15.4,-3276.8,-14,0.16,0.36,3.748,247.000,0.002620,0.000540,-1.32,-0.62,0.04,0.40,0.03,0.24
25/06/2018 13:00:47.443,113,15.4,-3276.8,-15,0.11,0.21,3.748,224.000,0.002620,0.000520,-1.03,-0.86,0.03,0.43,0.04,0.25
25/06/2018 13:00:48.443,113,15.7,-3276.8,-15,0.07,0.18,3.748,205.000,0.002620,0.000440,-1.15,-0.85,0.04,0.33,0.03,0.25
25/06/2018 13:00:49.443,112,15.7,-3276.8,-15,0.06,0.15,3.748,182.000,0.002620,0.000380,-1.07,-0.95,0.16,0.34,0.00,0.22
25/06/2018 13:00:50.443,112,16.5,-3276.8,-17,0.08,0.09,3.748,163.000,0.002620,0.000380,-1.06,-0.93,0.20,0.34,0.09,0.19
25/06/2018 13:00:51.443,102,16.5,-3276.8,-17,0.05,0.21,3.748,152.000,0.002620,0.000320,-1.12,-0.80,0.21,0.45,0.08,0.20
25/06/2018 13:00:52.443,96,16.9,-3276.8,-17,0.07,0.10,3.748,143.000,0.002340,0.000360,-1.07,-0.97,0.14,0.25,0.13,0.19
25/06/2018 13:00:53.443,93,16.9,-3276.8,-15,0.11,0.24,3.748,129.000,0.002340,0.000260,-1.13,-0.83,0.21,0.48,-0.02,0.21
25/06/2018 13:00:54.443,92,17.6,-3276.8,-17,0.09,0.16,3.748,130.000,0.002340,0.000220,-1.04,-0.97,0.01,0.33,0.01,0.19
25/06/2018 13:00:55.443,90,17.6,-3276.8,-17,0.11,0.16,3.747,126.000,0.002340,0.000240,-0.97,-0.86,0.22,0.45,0.01,0.19
25/06/2018 13:00:56.443,88,18.6,-3276.8,-17,0.09,0.20,3.747,121.000,0.002840,0.000420,-1.12,-0.93,0.15,0.28,-0.06,0.21
25/06/2018 13:00:57.443,86,18.6,-3276.8,11,0.39,0.51,3.747,114.000,0.002840,0.000680,-1.04,-0.79,-0.16,0.42,-0.36,0.20
25/06/2018 13:00:58.443,85,19.7,-3276.8,15,0.25,0.54,3.747,130.000,0.002840,0.000600,-0.97,-0.77,-0.04,0.20,-0.56,-0.30
25/06/2018 13:00:59.443,85,19.7,-3276.8,19,0.26,0.45,3.747,224.000,0.002840,0.000820,-1.19,-0.60,0.04,0.37,-0.56,0.01
25/06/2018 13:01:00.443,84,20.7,-3276.8,21,0.36,0.48,3.747,217.000,0.002840,0.000720,-1.31,-0.59,0.06,0.50,-0.54,0.19
25/06/2018 13:01:01.443,85,20.7,-3276.8,18,0.27,0.62,3.747,201.000,0.002840,0.000580,-1.38,-0.43,0.00,0.61,-0.75,0.19
25/06/2018 13:01:02.443,86,21.5,-3276.8,-18,0.25,0.46,3.747,183.000,0.002840,0.000460,-1.12,-0.78,0.18,0.46,-0.31,0.36
25/06/2018 13:01:03.443,89,21.5,-3276.8,-23,0.20,0.33,3.747,172.000,0.002840,0.000340,-1.02,-0.80,0.20,0.55,0.13,0.38
25/06/2018 13:01:04.443,92,22.1,-3276.8,-25,0.07,0.19,3.747,157.000,0.002840,0.000280,-0.95,-0.81,0.38,0.53,0.19,0.22
25/06/2018 13:01:05.443,94,22.1,-3276.8,-27,0.04,0.08,3.747,136.000,0.002840,0.000200,-0.96,-0.86,0.40,0.48,0.19,0.22
25/06/2018 13:01:06.443,94,22.6,-3276.8,-27,0.02,0.07,3.747,122.000,0.002840,0.000180,-0.95,-0.85,0.40,0.49,0.20,0.22
25/06/2018 13:01:07.443,93,22.6,-3276.8,-27,0.02,0.04,3.747,110.000,0.002840,0.000160,-0.95,-0.86,0.40,0.48,0.20,0.25
25/06/2018 13:01:08.443,92,23.1,-3276.8,-29,0.04,0.06,3.746,98.000,0.003460,0.000140,-0.96,-0.84,0.40,0.50,0.20,0.27
25/06/2018 13:01:09.443,91,23.1,-3276.8,-29,0.03,0.12,3.746,90.000,0.003460,0.000120,-0.93,-0.81,0.42,0.49,0.21,0.34
25/06/2018 13:01:10.443,90,23.5,-3276.8,-31,0.06,0.20,3.746,81.000,0.003600,0.000180,-0.95,-0.78,0.39,0.57,0.20,0.51
25/06/2018 13:01:11.443,90,23.5,-3276.8,-31,0.06,0.21,3.746,75.000,0.003600,0.000180,-0.95,-0.79,0.38,0.51,0.30,0.56
